age_CE	trsgi	numsamp
1455	0.852	16
1456	0.68	16
1457	0.801	16
1458	0.907	16
1459	0.783	16
1460	0.807	16
1461	0.688	16
1462	0.664	16
1463	0.673	16
1464	0.847	16
1465	0.814	16
1466	0.8	16
1467	0.888	16
1468	0.607	16
1469	0.611	16
1470	0.822	16
1471	1.009	16
1472	1.223	16
1473	1.145	16
1474	1.411	17
1475	1.423	17
1476	1.384	17
1477	1.194	17
1478	1.269	17
1479	1.056	17
1480	0.701	18
1481	0.869	18
1482	0.795	18
1483	0.477	18
1484	0.4	18
1485	0.645	18
1486	0.666	18
1487	0.725	18
1488	0.822	18
1489	0.858	18
1490	0.877	18
1491	0.903	18
1492	0.944	18
1493	0.893	18
1494	0.829	18
1495	0.847	18
1496	0.908	18
1497	0.958	18
1498	1.086	18
1499	0.981	18
1500	1.015	18
1501	1.001	18
1502	0.944	18
1503	0.922	18
1504	0.915	19
1505	1.038	19
1506	1.013	19
1507	1.145	19
1508	1.212	19
1509	1.436	19
1510	0.905	19
1511	1.077	19
1512	1.223	19
1513	0.988	19
1514	0.955	19
1515	1.183	19
1516	1.031	19
1517	1.249	19
1518	0.945	20
1519	1.125	20
1520	1.135	20
1521	1.215	20
1522	1.242	21
1523	1.04	22
1524	1.42	22
1525	1.355	23
1526	1.251	23
1527	1.101	23
1528	1.199	23
1529	1.043	23
1530	1.067	23
1531	1.081	23
1532	1.061	23
1533	1.172	23
1534	1.247	23
1535	1.14	23
1536	0.968	23
1537	1.062	24
1538	0.8	24
1539	0.511	24
1540	0.649	24
1541	0.855	24
1542	0.825	24
1543	0.852	24
1544	0.87	24
1545	1.035	24
1546	0.994	24
1547	1.09	24
1548	1.059	24
1549	0.956	24
1550	1.107	25
1551	1.079	25
1552	1.159	26
1553	1.246	26
1554	1.269	26
1555	0.996	26
1556	0.712	26
1557	0.73	26
1558	0.807	26
1559	0.83	26
1560	0.814	26
1561	1.012	26
1562	1.059	26
1563	1.009	26
1564	0.795	26
1565	0.592	26
1566	0.812	26
1567	0.884	26
1568	0.883	26
1569	0.924	26
1570	1.007	26
1571	0.965	26
1572	0.764	26
1573	0.835	26
1574	0.928	26
1575	0.917	27
1576	0.884	27
1577	1.051	27
1578	1	27
1579	0.999	27
1580	1.029	27
1581	0.957	27
1582	0.678	27
1583	0.927	27
1584	1.185	27
1585	1.347	27
1586	1.44	27
1587	1.658	27
1588	1.766	27
1589	1.243	27
1590	1.411	27
1591	1.602	27
1592	1.445	27
1593	1.509	27
1594	1.663	27
1595	1.493	27
1596	1.628	27
1597	1.481	27
1598	1.547	27
1599	0.64	27
1600	0.95	27
1601	1.288	28
1602	1.288	29
1603	1.261	29
1604	0.725	29
1605	0.949	34
1606	1.008	34
1607	0.911	34
1608	0.943	34
1609	1.177	34
1610	1.127	34
1611	0.982	34
1612	0.537	34
1613	0.765	34
1614	0.981	34
1615	0.933	34
1616	1.085	34
1617	1.082	35
1618	1.127	35
1619	1.128	35
1620	1.292	35
1621	0.927	35
1622	0.915	35
